Exposant	Pitch	Secteur	Pays	AI	Pays
20 Minutes	"Créé en 2002, 20 Minutes est un éditeur d’information indépendant détenu à parts égales par le groupe SIPA-Ouest-France, éditeur du premier quotidien français payant et par le Groupe Rossel, premier groupe de presse francophone belge. 
Il est le seul grand média français indépendant de tout groupe financier, industriel ou commercial. Son audience réunit 20 millions de lecteurs par mois dont plus de 80% sur les supports numériques.
Mobilisée dans la lutte contre les fausses informations, la rédaction de 20 Minutes a obtenu  la labellisation du très restreint IFCN Network. L'entreprise a édité, en 2011, une charte éthique et déonthologique, définissant les valeurs ainsi que les règles de vie professionnelle portées par chacun des collaborateurs de 20 Minutes."	Media/Entertainment/Culture	France	156	France
2CRSi	Founded in Strasbourg, France in 2005, the 2CRSi Group designs, manufactures and markets customized, high-performance, energy-efficient computer servers. Our widely recognized expertise in 3 types of server cooling (Air, Direct Liquid Cooling and Immersion) enables us to address the demanding sectors of research, defense and health, whether for HPC, Artificial Intelligence, Edge Computing or even storage needs.	Industry	France	217	France
2DS LAB	"We offer security and safety AI deep learning solutions, supporting your Company’s HQSE challenges. Detection/automated response related to image analysis, in any field of activity is in our scope. 
We transform cameras in active perimetral AI guards, triggering the alarm upon relevant detection of a human intruder. The cats, dogs, lights, trees moving, snow or rain are ignored, leading to a unique 99.95% performance of the system. 
Meet DIGICOP on our stand today: our AI security guard, trained to recognise humans/ specific items, programmed to generate immediate automated response (sirens/vocals) upon detection on site, and reporting to your guard/surveillance operator/quality Manager. 

Our AI can support you quality Processes aswell. 
Information is key. By monitoring and programming immediate automated responses and reporting, you can keep control and prevent risks, allowing you to adapt your safety-quality processes. 

We can support your teams in ways you have not imagined."	Software Development/Cloud services	France	30	France
2Emotion	"2Emotion, a French company founded in 2009, offers a simplified
video creation platform for professionals. The
2Emotion platform makes video creation accessible without technical
editing skills. It offers several levels of access, depending on the level and time required to
video design.
A simple mode based on video templates created and edited by motion
designers to create high-quality videos in just a few minutes.
A creative mode is available at the click of a button for professionals wishing to create
their own video content, using animation galleries of text, visuals and videos of exceptional
and videos of exceptional quality. A true professional
professional tool, enabling teams to work together, share and create custom templates
templates, video chartering and a comprehensive range of video formats
from Gifs to e-learning training modules."	Software Development/Cloud services	France	442	France
2tonnes	"Since its creation, the 2tonnes workshop has raised awareness on climate change amongst over 100,000 people (politicians, citizens, employees and students).
2tonnes is a serious game that gives participants a 360-degree experience of climate change. It provides not only knowledge on that topic, but also tools to act against climate change, and ideas on how to rally more people to this issue.
In practical terms, you will be able to compute your own carbon footprint and play with it during the workshop. In 3 hours, the aim is to reduce it as much as possible between 2023 and 2050, by taking individual and collective actions.
After the workshop, participants will have more knowledge on climate change and a better idea of what can be done at all society levels."	HR/Training/Education	France	47	France
321	"321 is a Corporate Startup Studio that partners with large companies (CAC40/SBF120) to create startups or spin-offs.
Founded in 2019 by Patrick Amiel and Romain Ledru-Mathé, it now brings together around 40 entrepreneurs who share a unique methodology and execution capability that benefits corporate innovation.

Over the past two years, the studio has built 8 startups and raised more than 20 millions euros with corporates as PMU, BNP Paribas, August Debouzy, among others.

If you are ready to partner with entrepreneurs, together we can:

- Build a Corporate Venture
- Set up your Startup Studio
- Scale one of your tech asset"	Consulting	France	158	France
360Learning	360Learning fosters internal mobility to solve the talent shortage by empowering companies to upskill from within. By turning their experts into champions for employee, customer, and partner growth, companies upskill their workforce fast to meet tomorrow’s business demands.360Learning’s comprehensive learning platform combines LMS and LXP capabilities coupled with collaborative learning Academies to power your business’s upskilling flywheel. Discover the easiest way to onboard and upskill employees, train customer-facing teams, and enable customers and partners—all from one place.360Learning powers the future of work at 2,300 organizations. Founded in 2013, 360Learning has raised $240 million with 400+ team members across the US and EMEA.	HR/Training/Education	France	508	France
365Talents	"365Talents, the leading AI-powered solution, transforms HR by seamlessly mapping skills for industry giants like EY, SLB, Veolia, SocGen (and others!), ensuring they future-proof their talent strategy and embrace a Skills-based Organization approach.
We go beyond traditional approaches, offering more than just technology. Picture real-time insights into your workforce’s skills, coupled with the expertise to implement strategic HR projects aligning with your business goals.
Our tagline “Start your skills journey with us” is not just a catchy phrase; it’s an invitation to embark on a transformative experience. Unlock the full potential of your workforce and witness your organization’s growth."	Software Development/Cloud services	France	25	France
36Kr	BEIJING DUOKE INFORMATION TECHNOLOGY LIMITED is a prominent brand and a pioneering platform dedicated to serving New Economy participants in China. With the mission of empowering New Economy participants to achieve more, 36Kr continuously connects in and serves the New Economic community, which involves Startups, TMT giants, Traditional enterprises, Institutional investors, Local governments, and Individuals. 36Kr accelerates the flow of the four major elements, which are information, talent, capital, and technology, to promote the development of a rapid, stable, and sustainable New Economy.36Kr has been listed on the Nasdaq under the ticker symbol KRKR on November 8th, 2019. 36 Kr’s business is divided into three modules: online advertising services, enterprise value-added services, and subscription services. In the ten years since founded, 36Kr has accumulated the resources of more than 800,000 enterprises in its database, and thousands of them are served by 36Kr in depth.	Media/Entertainment/Culture	China	579	Hors France
37 WINE			France	0	France
3D UTU	"The 3D UTU team invented and created the first Ukrainian industrial 3D printer for construction and software for it, which helps to adapt any architectural project into a 3D printing format. We strive to change people's lives for the better by working on innovative technologies and revolutionary ideas. Our 3d printer solves the issue of rapid construction, compared to traditional construction technologies, it is also a cheaper and better way. We differ from foreign similar products in terms of quality of printing and competitive price.

Our unique 3d printer combines 3 in 1:
precision mechanism
mixing system
unique software

Advantages of 3D construction:
- build 2 times faster than classical construction
- affordable price 
- original form without corners 
- does not require a large number of specialists
- printer is easy to transport

Areas of application: military, civilian, landscape, individual elite construction sector, strengthening of the coastal lines, artificial reefs, etc."	Smart City/Building	Ukraine	51	Hors France
4GIFT	"4GIFT provides white-label solutions that elevate brands' online customer experience and gifting capabilities. Our offerings include:

•AI-powered visual product search to create tailored product listing pages for each user.
•A gifting plug-in to enhance gifting capabilities on e-commerce platforms.
•A Digital & Retail gift registry solution for friends to easily contribute to a created wish list."	Luxury/Fashion/Beauty	Italy	137	Hors France
4MedBox	"4MedBox enables personalised treatment plans using genetics through a Health 4.0 infrastructure. Medical professionals, scientists and other service providers can interact with the personal data to enable preventive and curative care.

An example is the project with a mobile laboratory, where robotic DNA sample preperation, sequencing, and automatic analysis of the data is combined with 3D printing of medication. The pharmacist can use this mobile laboratory in combination with personalized medication to match the medication with the personal data that is within the 4MedBox personal environment."	Other	Netherlands	0	Hors France
50inTech	"50inTech creates innovative HR solutions to attract and retain women in the workforce
- GenderScore: gender inclusion assessment with AI-powered personalised actions plan to improve diversity and inclusion with efficiency
- GenderHire: inclusive sourcing platform connected with a community of + 35 000 women in tech in France and Europe 
- Unbiased Management Score: enable every manager to assess their biases regarding his/her team and offer a complete overview with anonymized data for HR or DE&I teams."	HR/Training/Education	France	60	France
62 RUBY STREET	"62 Ruby Street is a solution for marketing, acquisition, loyalty and understanding purchasing behavior. It enables its partners (shops, retailers, brands, associations, CCIs, municipalities, local authorities) to build loyalty and acquire receptive customers through a tailor-made shopping experience.

For users, 62 Ruby Street takes the form of an addictive mobile game, connected to their bank card, enabling them to benefit from exclusive offers and be automatically rewarded."	Software Development/Cloud services	France	140	France
A Virtual	"A.Virtual has successfully developed and commercialized filters using a new nanomaterial and the world's first process, having completed product validation targeted at major corporations. The company possesses technology that fundamentally eliminates viruses, bacteria, VOCs, and odors. A.Virtual prides itself on its patented technology, which not only offers high efficiency in germicidal power but also competitive manufacturing costs. These filters are not only applicable to home appliances, mobility, and buildings, but can also be customized for use in plants and incinerators that emit air pollutants. We also have B2C lineup, which can kill airborne viruses, bacteria, odors, ""a.wear(Air Sanitizer)"", we also  listed our products in Sharaf DG, a leading retailer in the UAE."	Consumer goods/Retail/E-commerce	South Korea	595	Hors France
A.V. Mapping	A.V. Mapping, empowered by cutting-edge AI technology, is a one-stop music for video mapping platform. With the innovation and concept to shorten the work time for film producers, and also to increase the cash flow of the creative industry and more income to musicians at the same time, A.V. Mapping’s service is able to save 95% of work-hours and accelerates the production of the original and copyrighted music market. A.V. Mapping can become the best assistant of creators, bringing a more efficient creative environment and higher-speed cash flow to the creative industry	Media/Entertainment/Culture	Taiwan	41	Hors France
A2D Acquire to Decide	"A2D Acquire to Decide, éditeur de logiciel pour la maintenance des ouvrages et infrastructures.
Nous maîtrisons toute la chaine de traitement, de l’acquisition à la décision : Le traitement et l’analyse d’images, la détection automatique des anomalies ou désordres ; la gestion de nuage de points 3D, le mapping des images sur un maillage, construction de jumeau numérique.
Dans un premier temps, nous définissons un protocole d’acquisition pour garantir une qualité uniforme et répétable des données acquises par un capteur embarqué (drone aérien, drone marin, robot, automobile etc…).
Les images acquises sont ensuite automatiquement analysées pour détecter les anomalies (déplacements, fissures, fractures, dis-jointoiements, etc.) au millimètre, les géolocaliser au centimètre et les quantifier pour en assurer une surveillance dans le temps.
Cette digitalisation permet d’annoter les données par différents experts pour renforcer les bases d’apprentissage des algorithmes (Deep Learning)."	Software Development/Cloud services	France	53	France
AALIA.TECH	"Our mission at AALIA.TECH is to improve healthcare access and quality for all, by using new technologies for common good.

Created in 2023 by Samah GHALLOUSSI after years of research and development, AALIA.TECH provides a unique medical translation AI for healthcare professionals : AaliaTalk.

AaliaTalk is a AI-based smart voice assistant that translates medical conversations between healthcares providers and patients who don't speak the same language, taking into account the patient's medical context and culture.

A real alternative to the high cost of a professional interpreter (+€100/hour) and the lack of availability, AaliaTalk democratizes access to healthcare for all with its voice assistant.

Winner of the Talent de la e-santé 2023 Award as hospital digital innovation, AALIA.TECH aims to see its voice assistant used in more than 300 healthcare establishments by 2025.

Available on iOS, Android and Web : https://www.aalia.tech/app"	Health	France	250	France
ABAKA AI	ABAKA AI, is committed to be your data partner in the AI industry. ABAKA AI provides ACE Service(From data collection to data annotation). It meets the data needs of dozens of application scenarios such as autonomous driving, AIGC, smart medical, smart security, smart city,etc. Currently, the company has cooperated with more than 300 + top high tech, AI companies and scientific research institutions all over the world. ABAKA AI has dozens of intellectual property rights, and participated in the constructing of _2022 Artificial Intelligence White Paper_.	Information technologies	Singapore	7	Hors France
Abilous	"Abilous is an all-in-one educational software that gamifies and personalizes courses to motivate students (elementary school students and above). Learn anytime, anywhere.
Abilous will also help teachers to create interactive learning content easily using AI."	HR/Training/Education	France	256	France
ABSOLUTE LABS	Absolute Labs has created the first Wallet Relationship Management platform – WRM – to bring CRM to Web3. It empowers marketers to identify and measure their addressable Web3 market in just a few weeks, to forge deeper customer engagement, gain insights on prospects and customers, unify Web2 and Web3 data, and automate cross-channel campaigns including wallet messaging across the entire marketing funnel. Our Campaign tool orchestrates wallet messaging and airdropping as well as email, Discord, Twitter, push and SMS.	Marketing/Advertising/Communication	France	242	France
Abundant Earth	"Abundant Earth builds technology powered by AI, satellites, and on-ground sensors to collect biodiversity data. 
Our first product evaluates the ecological restoration potential of land, aiding companies to comply with biodiversity regulations. 

Our land identification product aims:
1. to divide by 10 the time spent by a project developer to find land to restore
2. to target a 90% accuracy rate on the site we identify"	Software Development/Cloud services	France	45	France
Abyssale	"Backed by 2.6M€ in funding from Aglaé Ventures, Founders Future & Kima Ventures, Abyssale empowers leading businesses like BackMarket, Netflix, SoLocal, Total Energies, Leroy Merlin, and more... to automate and scale their marketing and advertising visual production.

Our platform streamlines design for faster publishing and higher ROI, eliminating repetitive tasks and human errors while seamlessly integrating creativity, personalization, and scalable production.

Effortlessly generate thousands of banners from a single template in various formats within minutes! Simplify your workflow with our intuitive process: choose or create a template, select formats, connect data, and effortlessly generate banners.

Explore features like our industry-leading editor, one-click banner resizing, seamless integrations with 1000+ tools via Zapier or Make, dynamic image generation for ultra-personalization, robust Rest API, and collaborative tools for efficient teamwork and client collaboration."	Marketing/Advertising/Communication	France	0	France
Academic Sight	"Transforming Quality Control, Seamlessly

We can integrate into your existing production lines without any hassle... 
We can autonomously streamline your surface quality control operations without any disruption... 
We can empower your business to enhance the efficiency without any huge investment... 

Beyond Efficiency: A Broader Vision

Our vision extends beyond immediate benefits... 
Our AI-powered defect detection platform, is designed to be a groundbreaker for the mass production industries... 
Our solution will foster innovation and market expansion by enabling data-driven decision making. 

By having this solution, you will free-up valuable human resources... Your workers can focus on higher-level tasks, ultimately reducing costs and promoting environmental sustainability... 

To sum up, you will sustain your production speed, control the quality, remain competitive and increase the overall customer satisfaction."	Industry	Turkey	395	Hors France
AccesLibre	"12 million of french persons are disabled and need specific information to organize an outing and be sure they can access the place they want to visit.
Acceslibre is a collaborative public website that collect and share information about outlet accessibility. 
We offer online questions to collect information quickly and easily and we form partnerships with other web plateforms, medias or websites in order to disseminate this information everywhere on internet and make disabled people 's life easier."	Government/Public institutions	France	0	France
Acclime	"Acclime – your one-stop-shop solution in the Asia Pacific region

At Acclime, we don’t just understand Asian markets; we are an integral part of them. We help clients expertly navigate complexities with a strategic presence across 15 key jurisdictions including Australia, Cambodia, China, Hong Kong, India, Indonesia, Malaysia, Mauritius, the Middle East, the Philippines, Seychelles, Singapore, Thailand, Japan, and Vietnam. 

Specializing in turning the challenges of international expansion into seamless experiences, Acclime offers unmatched local insights and global perspectives to foster business growth. Embodying a 'Yes, We Can' philosophy, Acclime is committed to delivering innovative, efficient solutions that set industry benchmarks. 

With Acclime, experience the synergy of expertise, innovation, agility, and collaboration, all converging to drive business forward in Asia and beyond."	Consulting	Australia	400	Hors France
ACCURE Battery Intelligence	"ACCURE is the leading provider of predictive analytics solutions for battery energy storage. We empower companies to reduce risk, enhance performance, and maximize the business value of their energy storage investments. Our advanced AI algorithms simplify the complexity of battery data, enabling safer, more reliable, and more sustainable operations. 

With deep expertise in battery technology and data analytics, we deliver unique clarity to energy storage management. Our solutions enable customers worldwide to optimize the performance and safety of their battery systems while minimizing costs and environmental impact. Visit accure.net to learn how you can achieve your energy storage goals."	Software Development/Cloud services	Germany	234	Hors France
ACHILLE SOLUTIONS	At Achille Solutions, we simplify GDPR compliance for businesses of all sizes. Our tool and online services enhance efficiency and security, seamlessly integrating data protection obligations into your team's daily routine. Turn your compliance into a strategic advantage and save valuable time with our customized solutions.	Banking/Finance/Insurance/Legal	France	211	France
ACS Biotech		Health	France	0	France
ACSES SOLUTIONS	"> Our expertise : Smart Key Management
Our lockers make it easier to manage keys and small objects, offering a secure solution, traceability of key pick up and deposits, and management at
remotely via our ACSES Manager software. A connected locker solution which allows you to automate key delivery 24/7.
Our secure locker solution is modular and ready to be installed in the premises of our customers by a simple electrical connection. A tailor-made solution to perfectly meet customer needs whatever the sector of activity.
> Who are we ? 
ACSES is a French company specializing in secure locker systems for key and equipment management. Founded in 2020 in Île-de-France, ACSES has experienced rapid growth, emerging as a key player in the connected city landscape. 
> Our added value: 
- Tailor-made lockers and, customization of functionalities according to business needs of our customers. 
- Open API freely available. Automate your fleet of keys with our app or your internal existing software"	Other	France	441	France
Actronika	"Actronika offers you haptic solutions that enable the incorporation of touch functions into human-machine interfaces to meet the consumer's expectations for a safer, smoother, and more comfortable user experience.
This technology can be implemented in any device: smartphones to improve the user experience, touch screens in vehicles to reduce distraction while driving, game controllers to improve immersion, and even more.

Faced with an increasingly digital world, Actronika's mission is to re-engage the public with tangible material experiences and to provide multi-sensory experiences. We accompany our customers during the process of identification of their needs, prototyping of the product, development, and assistance in the industrialization of the final product."	Other	France	0	France
Actronika	"Actronika offers you haptic solutions that enable the incorporation of touch functions into human-machine interfaces to meet the consumer's expectations for a safer, smoother, and more comfortable user experience.
This technology can be implemented in any device: smartphones to improve the user experience, touch screens in vehicles to reduce distraction while driving, game controllers to improve immersion, and even more.

Faced with an increasingly digital world, Actronika's mission is to re-engage the public with tangible material experiences and to provide multi-sensory experiences. We accompany our customers during the process of identification of their needs, prototyping of the product, development, and assistance in the industrialization of the final product."	Other	France	0	France
ACTRONIKA	"Actronika offers you haptic solutions that enable the incorporation of touch functions into human-machine interfaces to meet the consumer's expectations for a safer, smoother, and more comfortable user experience.
This technology can be implemented in any device: smartphones to improve the user experience, touch screens in vehicles to reduce distraction while driving, game controllers to improve immersion and even more.

Faced with an increasingly digital world, Actronika's mission is to re-engage the public with tangible material experiences and to provide multi-sensory experiences. We accompany our customers during the process of identification of their needs, prototyping of the product, development, and assistance in the industrialization of the final product."	Other	France	0	France
ACTUAL GROUP	Aujourd’hui, 5e acteur sur le marché du travail et de l’emploi en France, Actual group est un groupe français, à la vision résolument humaniste, qui milite chaque jour pour faciliter le droit au travail pour tous. Organisé autour de 4 métiers - travail intérimaire, recrutement, accompagnement et formation - le groupe est n° 1 de l’intérim d’insertion en France. Dirigé par Samuel Tual, Actual group a développé une véritable expertise dans l’accompagnement des personnes vers l’emploi. Grâce à ses 4 100 collaborateurs et plus de 600 agences réparties sur le territoire, Actual group accompagne aujourd’hui 33 000 entreprises et 165 000 candidats à l’emploi, pour un chiffre d’affaires de 1,6 milliard en 2023. Son ambition, et celle de ses marques Actual, Leader, Ergalis, Ergos, Best intérim, Talentpeople, CCLD, Up Skills, Clémentine, Batenborch, Act4skills, Bizness, Envergure, ESUP, Holberton, est de construire ensemble le travail des femmes et des hommes, partout en France.	Other	France	45	France
ActuIA	ActuIA is the French-language reference in the field of artificial intelligence. With its website featuring industry news and its quarterly magazine, ActuIA deciphers technological advances, explores the economic and social impacts of AI, and highlights the players in the French and international ecosystem to offer its readership an enlightened understanding and forward-looking vision of a constantly evolving field.	Media/Entertainment/Culture	France	236	France
Acuicy	"Businesses are under pressure to reduce their emissions but many don’t know how to get started. Companies need answers to three not-so-simple questions:

1. What are our options to reduce carbon?
2. How much will it cost us?
3. How much emissions will it reduce?

Acuicy is a fully automated SaaS platform that provides the answers to these questions. We provide our users with a wide range of low carbon options tailored to their business and we provide the financial business case, including CapEx, annual cost and emissions savings, and ROI for each option so that companies can start cutting emissions and costs right away."	Other	Canada	415	Hors France
ACWA ROBOTICS	"LA ROBOTIQUE ET LE NUMÉRIQUE AU SERVICE DES RÉSEAUX D'EAU POTABLE 

Acwa Robotics développe des solutions robotiques autonomes permettant aux services de l'eau de collecter, au cœur de leur réseau, les données stratégiques, faisant état des canalisations, dont ils ont besoin pour maintenir et renouveler l'infrastructure.

Une fois programmé, le robot parcours la zone de mission à l'intérieur du réseau en mode autonome. En fin de mission, notre équipe informatique récupère et traite les données collectées. Elles sont ensuite mise à disposition de notre client sous forme de fichier intégrable dans leur logiciel de gestion de l'infrastructure ou via une interface de visualisation dédiée.
 
Sur la base des données collectées par le Pathfinder, nos clients peuvent décider avec exactitude où et quand renouveler les tronçons à risque, économiser plusieurs centaines de milliers d'euros d'investissement et réduire les fuites et casses à venir."	Industry	France	226	France
ADAM Aerospace	"ADAM provides solutions that protect critical data in aerospace, defense
and critical infrastructure. Our mission is to make data transfer and verification secure, universal, and efficient. From audit protocols to data verification, there are so many implications and use cases. We strive to give people peace of mind by using this robust security blanket to protect the most valuable asset: information."	Cybersecurity/Defense	United States of America	0	Hors France
ADAPTIVE MEDIA France	"Adaptive Media is: An Emotional intelligence (EQ) and conversational AI format enabling individuals to learn and apply skills to succeed in the workplace. It is a extremely fast, effective, cost-effective scalable product. 

Works on ANY existing device. Easy to use. Plug and Play. 

It enables employees to develop non-academic work skills in a safe and non-judgmental environment
Aligns with employers by using tailored content and conversational AI


Ethical and human centred :
Narrow AI
Solving specific problems focusing on those that need the most help
Eco-friendly 
By using the device CPU, we massively reduce our carbon footprint
Low latency
Our emotion analysis is as fast as humans (30 milliseconds)
Maintains privacy
Our emotion AI works securely in the user’s browser"	HR/Training/Education	France	70	France
ADARA	"ADARA is revolutionizing rural inclusion in Côte d'Ivoire and the West African sub-region by providing populations in these remote regions with access to quality educational resources through an interactive platform powered by Artificial Intelligence. 
This initiative enhances the skills of farmers in various areas such as agriculture, climate, health, and more. 
With ADARA, access to essential educational information becomes possible even in the most remote areas, as it functions seamlessly without the need for an internet connection. 
Accessible even to users with average digital skills and onBasic feature phones , ADARA paves the way for a more sustainable and promising future for all stakeholders in rural areas who have long been marginalized in terms of access to quality educational resources."	Information technologies	Cote d’Ivoire	661	Hors France
ADASTEC	Established in 2018, ADASTEC Corp is a leading US-based provider of SAE Level-4 automation solutions for full-size buses and commercial vehicles. Our flagship product, the SAE Level-4 automation platform flowride.ai, sets the standard in full-size bus automation with its advanced capabilities and has achieved key regulatory approvals, distinguishing ADASTEC as an industry pioneer. With a commitment to quality and innovation, ADASTEC holds prestigious ISO certifications and is headquartered in East Lansing, Michigan. ADASTEC is dedicated to transforming public transportation into a more sustainable and efficient system with a proven track record of international deployments and strong industry partnerships. Our expertise in delivering factory-fitted full-size buses and commercial vehicles automation and integration into public transport systems underscores our commitment to providing scalable, cost-effective, and safety-focused solutions to meet the evolving needs of modern cities.	Software Development/Cloud services	United States of America	214	Hors France
AdCreative.ai	"AdCreative.ai is the 3rd fastest growing startup in the world two years in a row and the #1 most used all-in-one platform for AI advertising.

We are on a mission to keep developing the ultimate AI Advertising powerhouse that boosts ROI for enterprises.

We have analyzed creatives from over 2 million users from 192 countries to bring you a customized experience all within one platform!
From data-driven ad creatives to in-depth analyses!"	Marketing/Advertising/Communication	France	12	France
AddOptics	"We're pioneering a new era in prescription optics, focusing on augmented reality (AR) smartglasses. 

Our Proprietary Technology: a revolutionary method of manufacturing prescription lenses with integrated mechanics.

- A leap forward to create the lenses needed for next generation vision products.
- Current methods cannot meet the specifications of these new lenses.
- It's also faster, cost-effective, and reduces material waste.

Ultimate Solution for AR: uniquely suited to bring prescription (Rx) lenses to AR smartglasses

- A key hurdle preventing wider adoption of AR is the lack of convincing prescription solutions
- Mass customization: produced at the scale of mass consumer devices, yet customized to each user’s individual prescription"	Consumer goods/Retail/E-commerce	Netherlands	0	Hors France
ADIM		Government/Public institutions	France	0	France
Adlema	Adlema is a start-up established in 2020 within ITU ARI Teknokent with the support of Tübitak BIGG. With its expert team in leak tests, it offers end-to-end solutions to manufacturers in many different sectors such as the Defense Industry, Automotive, Medical, Consumer Electronics, HVAC, and White Goods, with leak-testing devices working at different sensitivities, quick connectors, and additional products. Adlema team, which received an initial investment of € 100,000 in 2021, followed by € 400,000 in continuation investment in 2022, has reached 18 people, half of whom are engineers who graduated from the best universities in Turkey. Adlema continues its R&D and production activities with the investments it has received and intends to provide added value to the Turkish industry.	Industry	Turkey	0	Hors France
Adriel	"Adriel is the Ad Operations (AdOps) platform of choice for leading brands and agencies around the world.

We help businesses make effective decisions faster without manually collecting, processing, and managing data. To date, we’ve assisted over 6,000 enterprises automate data aggregation, mitigate marketing campaign risks, and discover insights.

Adriel provides intuitive dashboards designed to help marketers identify profitable campaigns, channels, and ad creatives. The platform empowers you to make optimal decisions based on standardized cross-channel data, storytelling visualizations, and real-time performance alerts.

Companies like Harley Davidson, H&M, LG, Samsung SDS, and many more trust us to scale their digital marketing initiatives.

Don’t let your precious time go to waste working through spreadsheets and silos. Head on over to adriel.com to learn how Adriel can help you make more time for what truly matters - whether that’s productivity, strategy, or simply life."	Software Development/Cloud services	United States of America	315	Hors France
